,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1
0,0,2023-03-18 04:00:00,18,4,,34.52,2.41,0.0,,30.0,6.0,,14.32365145,,,,-39694.4987,2023-03-18,04:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 04:00:00,2023-03-18 04:00:00-07:00,,,89797.9,60.0,58.68,3.601,,-2.0
1,1,2023-03-18 05:00:00,18,5,,35.53,2.41,0.0,,28.0,6.0,,14.74273859,,,,-39694.4987,2023-03-18,05:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 05:00:00,2023-03-18 05:00:00-07:00,,,89886.93,20.0,68.34,3.601,,-3.0
2,2,2023-03-18 06:00:00,18,6,,40.51,2.41,0.0,,27.0,7.0,,16.80912863,,,,-39694.4987,2023-03-18,06:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 06:00:00,2023-03-18 06:00:00-07:00,,,89975.95,20.0,68.11,2.058,,-4.0
3,3,2023-03-18 07:00:00,18,7,,52.96,2.41,0.0,,27.0,8.0,,21.97510373,,,,-39694.4987,2023-03-18,07:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 07:00:00,2023-03-18 07:00:00-07:00,,,90064.98,20.0,63.45,3.601,,-2.0
4,4,2023-03-18 08:00:00,18,8,,69.27,2.41,0.0,,26.0,9.0,,28.74273859,,,,-39694.4987,2023-03-18,08:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 08:00:00,2023-03-18 08:00:00-07:00,,,90154.01,40.0,47.14,4.116,,1.0
5,5,2023-03-18 09:00:00,18,9,,69.96,2.41,0.0,,29.0,10.0,,29.02904564,,,,-39694.4987,2023-03-18,09:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 09:00:00,2023-03-18 09:00:00-07:00,,,90213.36,40.0,34.88,3.601,,3.0
6,6,2023-03-18 10:00:00,18,10,,46.87,2.41,0.0,,31.0,11.0,,19.44813278,,,,-39694.4987,2023-03-18,10:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 10:00:00,2023-03-18 10:00:00-07:00,,,90213.36,60.0,32.19,3.601,,3.0
7,7,2023-03-18 11:00:00,18,11,,31.05,2.41,0.0,,34.0,12.0,,12.88381743,,,,-39694.4987,2023-03-18,11:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 11:00:00,2023-03-18 11:00:00-07:00,,,90213.36,360.0,35.2,4.116,,4.0
8,8,2023-03-18 12:00:00,18,12,,25.04,2.41,0.0,,37.0,11.0,,10.39004149,,,,-39694.4987,2023-03-18,12:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 12:00:00,2023-03-18 12:00:00-07:00,,,90124.33,40.0,30.62,3.601,,6.0
9,9,2023-03-18 13:00:00,18,13,,20.9,2.41,0.0,,39.0,9.0,,8.67219917,,,,-39694.4987,2023-03-18,13:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 13:00:00,2023-03-18 13:00:00-07:00,,,90064.98,,28.58,,,7.0
