,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,DateAPIFormat,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,cloud_layer_1_code_set_1,wind_speed_set_1,relative_humidity_set_1,peak_wind_speed_set_1,air_temp_set_1,wind_direction_set_1
114,115,2022-12-28 15:00:00,28,15.0,-$0.39,$13.09,4.9,$0.00,9428.61,75.9,9.2,-0.08,2.67,-13.48,-13.48,-1.0293999999999999,"-$9,536.82",2022-12-28,15:00:00,2022,12,20221228,12/28/2022 15:00:00,2022-12-28 15:00:00-08:00,,,100995.07,0,5.659,60.75,,23.0,170.0
115,116,2022-05-25 09:00:00,25,9.0,-$0.37,$63.54,8.77,$0.00,11512.69,66.9,6.9,-0.04,7.25,-63.91,-63.91,-1.0058,"$4,076.76",2022-05-25,09:00:00,2022,5,20220525,05/25/2022 09:00:00,2022-05-25 09:00:00-07:00,,,100691.28,0,2.572,73.32,,22.0,330.0
116,117,2022-05-25 08:00:00,25,8.0,-$0.36,$71.48,8.77,$0.00,11229.82,64.9,4.6,-0.04,8.15,-71.84,-71.84,-1.0051,"$4,140.67",2022-05-25,08:00:00,2022,5,20220525,05/25/2022 08:00:00,2022-05-25 08:00:00-07:00,,,100657.52,0,4.63,82.89,,20.0,320.0
117,118,2023-02-13 00:00:00,13,24.0,-$0.30,$16.40,2.37,$0.00,9487.59,48.9,4.6,-0.13,6.92,-16.7,-16.7,-1.0184,"-$13,687.54",2023-02-13,00:00:00,2023,2,20230213,02/13/2023 00:00:00,2023-02-13 00:00:00-08:00,,,101636.42,0,1.543,93.35,,7.0,210.0
118,119,2022-12-31 12:00:00,31,12.0,-$0.30,$16.07,3.7,$0.00,9077.0,67.0,7.0,-0.08,4.34,-16.37,-16.37,-1.0184,"-$9,865.43",2022-12-31,12:00:00,2022,12,20221231,12/31/2022 12:00:00,2022-12-31 12:00:00-08:00,,,100995.07,0,2.058,46.78,,23.0,220.0
119,120,2023-01-12 14:00:00,12,14.0,-$0.28,$21.49,3.35,$0.00,10609.09,63.0,17.3,-0.08,6.41,-21.77,-21.77,-1.0129000000000001,"-$10,923.69",2023-01-12,14:00:00,2023,1,20230112,01/12/2023 14:00:00,2023-01-12 14:00:00-08:00,,,101872.7,0,9.26,42.03,,17.0,340.0
120,121,2022-12-29 04:00:00,29,4.0,-$0.27,$8.53,4.12,$0.00,7743.54,64.0,4.6,-0.07,2.07,-8.8,-8.8,-1.0319,"-$9,679.81",2022-12-29,04:00:00,2022,12,20221229,12/29/2022 04:00:00,2022-12-29 04:00:00-08:00,,mist,101130.09,0,4.116,100.0,,18.0,150.0
121,122,2022-12-25 14:00:00,25,14.0,-$0.26,$37.26,6.56,$0.00,9743.55,46.9,4.6,-0.04,5.68,-37.52,-37.52,-1.0068000000000001,"-$8,525.49",2022-12-25,14:00:00,2022,12,20221225,12/25/2022 14:00:00,2022-12-25 14:00:00-08:00,,,102446.54,0,1.543,19.61,,9.0,230.0
122,123,2023-01-12 16:00:00,12,16.0,-$0.25,$23.39,3.35,$0.00,10573.86,63.0,16.1,-0.08,6.98,-23.64,-23.64,-1.0108,"-$10,970.84",2023-01-12,16:00:00,2023,1,20230112,01/12/2023 16:00:00,2023-01-12 16:00:00-08:00,,,102041.48,0,5.659,50.93,,14.0,340.0
123,124,2023-01-15 14:00:00,15,14.0,-$0.24,$9.28,3.44,$0.00,9955.82,72.0,19.6,-0.07,2.7,-9.52,-9.52,-1.0261,"-$11,297.32",2023-01-15,14:00:00,2023,1,20230115,01/15/2023 14:00:00,2023-01-15 14:00:00-08:00,,,100893.81,0,8.746,60.51,,22.0,160.0
124,125,2022-05-29 05:00:00,29,5.0,-$0.24,$17.38,8.27,$0.00,11744.16,75.9,6.9,-0.03,2.1,-17.62,-17.62,-1.0134999999999998,"$9,732.98",2022-05-29,05:00:00,2022,5,20220529,05/29/2022 05:00:00,2022-05-29 05:00:00-07:00,,,100657.52,0,3.087,83.48,,25.0,170.0
125,126,2023-01-09 02:00:00,9,2.0,-$0.18,$15.22,3.42,$0.00,8028.91,50.0,6.9,-0.05,4.45,-15.4,-15.4,-1.0118,"-$10,376.82",2023-01-09,02:00:00,2023,1,20230109,01/09/2023 02:00:00,2023-01-09 02:00:00-08:00,,,101940.21,0,1.543,93.45,,9.0,20.0
126,127,2023-01-12 12:00:00,12,12.0,-$0.17,$18.76,3.35,$0.00,10521.08,59.0,15.0,-0.05,5.6,-18.93,-18.93,-1.0092,"-$10,883.67",2023-01-12,12:00:00,2023,1,20230112,01/12/2023 12:00:00,2023-01-12 12:00:00-08:00,11.832,,101838.95,0,8.746,42.03,,17.0,350.0
127,128,2022-10-20 01:00:00,20,1.0,-$0.16,$30.02,5.5,$0.00,8715.34,53.1,4.6,-0.03,5.46,-30.18,-30.18,-1.0051999999999999,"$1,806.81",2022-10-20,01:00:00,2022,10,20221020,10/20/2022 01:00:00,2022-10-20 01:00:00-07:00,,,101805.19,0,1.543,66.05,,9.0,190.0
128,129,2022-12-29 00:00:00,29,24.0,-$0.15,$10.45,4.9,$0.78,8667.65,63.0,5.8,-0.03,2.13,-10.6,-10.6,-1.0144,"-$9,635.17",2022-12-29,00:00:00,2022,12,20221229,12/29/2022 00:00:00,2022-12-29 00:00:00-08:00,,mist,101096.34,0,2.058,100.0,,17.0,150.0
129,130,2022-05-29 06:00:00,29,6.0,-$0.15,$17.94,8.27,$0.00,11650.58,77.0,9.2,-0.02,2.17,-18.09,-18.09,-1.0082,"$9,714.89",2022-05-29,06:00:00,2022,5,20220529,05/29/2022 06:00:00,2022-05-29 06:00:00-07:00,,,100691.28,0,2.572,78.68,,26.0,180.0
130,131,2023-01-12 15:00:00,12,15.0,-$0.13,$23.38,3.35,$0.00,10590.18,62.1,18.4,-0.04,6.98,-23.51,-23.51,-1.0056,"-$10,947.20",2023-01-12,15:00:00,2023,1,20230112,01/12/2023 15:00:00,2023-01-12 15:00:00-08:00,12.347,,101940.21,0,8.231,44.78,,16.0,330.0
131,132,2023-01-15 11:00:00,15,11.0,-$0.13,$9.22,3.44,$0.00,9795.58,69.1,17.3,-0.04,2.68,-9.35,-9.35,-1.0141,"-$11,270.57",2023-01-15,11:00:00,2023,1,20230115,01/15/2023 11:00:00,2023-01-15 11:00:00-08:00,,,101163.85,0,5.659,56.7,,22.0,170.0
132,133,2023-01-12 11:00:00,12,11.0,-$0.11,$17.47,3.35,$0.00,10478.58,57.0,18.4,-0.03,5.21,-17.58,-17.58,-1.0064,"-$10,864.73",2023-01-12,11:00:00,2023,1,20230112,01/12/2023 11:00:00,2023-01-12 11:00:00-08:00,12.861,,101805.19,0,9.26,44.78,,16.0,310.0
133,134,2023-01-15 13:00:00,15,13.0,-$0.08,$8.81,3.44,$0.00,9919.95,72.0,13.8,-0.02,2.56,-8.89,-8.89,-1.0085,"-$11,287.80",2023-01-15,13:00:00,2023,1,20230115,01/15/2023 13:00:00,2023-01-15 13:00:00-08:00,,,100961.32,0,6.173,60.51,,22.0,160.0
134,135,2023-02-20 03:00:00,20,3.0,-$0.08,$5.48,2.26,$0.00,8546.75,63.0,4.6,-0.03,2.42,-5.56,-5.56,-1.0137,"-$13,873.31",2023-02-20,03:00:00,2023,2,20230220,02/20/2023 03:00:00,2023-02-20 03:00:00-08:00,,,101568.91,0,2.058,100.0,,18.0,220.0
135,136,2023-01-12 10:00:00,12,10.0,-$0.03,$17.48,3.35,$0.00,10407.13,57.9,19.6,-0.01,5.22,-17.51,-17.51,-1.0016,"-$10,847.15",2023-01-12,10:00:00,2023,1,20230112,01/12/2023 10:00:00,2023-01-12 10:00:00-08:00,,,101906.46,0,7.202,44.78,,16.0,320.0
136,137,2022-12-31 15:00:00,31,15.0,-$0.03,$15.44,3.7,$0.00,9508.93,75.0,5.8,-0.01,4.17,-15.47,-15.47,-1.0016,"-$9,913.98",2022-12-31,15:00:00,2022,12,20221231,12/31/2022 15:00:00,2022-12-31 15:00:00-08:00,,,100927.56,0,3.087,46.78,,23.0,200.0
137,138,2023-01-01 04:00:00,1,4.0,-$0.02,$8.18,3.55,$0.00,7854.72,61.0,3.5,0.0,2.3,-8.2,-8.2,-1.0018,"-$9,994.34",2023-01-01,04:00:00,2023,1,20230101,01/01/2023 04:00:00,2023-01-01 04:00:00-08:00,,mist,101130.09,0,2.058,100.0,,16.0,110.0
138,139,2022-12-31 11:00:00,31,11.0,$0.00,$15.84,3.7,$0.00,8924.66,62.1,5.8,0.0,4.28,-15.84,-15.84,-1.0002,"-$9,849.06",2022-12-31,11:00:00,2022,12,20221231,12/31/2022 11:00:00,2022-12-31 11:00:00-08:00,,,101096.34,0,3.087,49.7,,22.0,190.0
139,140,2023-01-09 03:00:00,9,3.0,$0.00,$16.64,3.42,$0.00,7956.75,50.0,3.5,0.0,4.87,-16.64,-16.64,-1.0002,"-$10,393.46",2023-01-09,03:00:00,2023,1,20230109,01/09/2023 03:00:00,2023-01-09 03:00:00-08:00,,,101973.97,0,1.543,100.0,,8.0,50.0
140,141,2023-01-25 14:00:00,25,14.0,$0.00,$20.82,3.34,$0.00,10702.52,50.0,13.8,0.0,6.23,-20.82,-20.82,-1.0,"-$11,647.51",2023-01-25,14:00:00,2023,1,20230125,01/25/2023 14:00:00,2023-01-25 14:00:00-08:00,,,101737.68,0,5.659,57.78,,11.0,320.0
141,142,2023-01-06 15:00:00,6,15.0,$0.00,$14.64,3.76,$0.00,10896.73,78.1,15.0,0.0,3.89,-14.64,-14.64,-0.9998,"-$10,130.22",2023-01-06,15:00:00,2023,1,20230106,01/06/2023 15:00:00,2023-01-06 15:00:00-08:00,,,101670.17,0,5.659,56.95,,23.0,160.0
