,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,DateAPIFormat,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,cloud_layer_1_code_set_1,wind_speed_set_1,relative_humidity_set_1,peak_wind_speed_set_1,air_temp_set_1,wind_direction_set_1
437,443,2022-05-28 03:00:00,28,3.0,$10.66,$36.51,8.27,$0.00,11354.25,66.0,0.0,1.29,4.41,-25.85,-25.85,-0.708,"$11,032.65",2022-05-28,03:00:00,2022,5,20220528,05/28/2022 03:00:00,2022-05-28 03:00:00-07:00,,,101028.83,0,0.0,77.48,,18.0,0.0
438,444,2023-02-28 02:00:00,28,2.0,$10.74,$10.88,2.56,$0.00,9508.4,62.1,3.5,4.19,4.25,-0.14,-0.14,-0.0131,"-$13,495.26",2023-02-28,02:00:00,2023,2,20230228,02/28/2023 02:00:00,2023-02-28 02:00:00-08:00,,mist,100725.03,0,2.572,93.94,,19.0,180.0
439,445,2023-02-12 15:00:00,12,15.0,$10.76,$12.37,2.37,$0.00,9563.8,63.0,5.8,4.54,5.22,-1.61,-1.61,-0.13019999999999998,"-$13,615.31",2023-02-12,15:00:00,2023,2,20230212,02/12/2023 15:00:00,2023-02-12 15:00:00-08:00,,,101602.66,0,1.543,36.77,,18.0,220.0
440,447,2023-02-09 13:00:00,9,13.0,$10.79,$17.03,2.42,$0.00,10299.64,66.9,3.5,4.46,7.04,-6.24,-6.24,-0.3663,"-$13,068.64",2023-02-09,13:00:00,2023,2,20230209,02/09/2023 13:00:00,2023-02-09 13:00:00-08:00,,,101467.64,0,3.601,32.76,,21.0,150.0
441,448,2022-12-28 01:00:00,28,1.0,$10.80,$18.10,4.9,$0.00,9850.58,37.9,4.6,2.2,3.69,-7.3,-7.3,-0.4032,"-$9,373.88",2022-12-28,01:00:00,2022,12,20221228,12/28/2022 01:00:00,2022-12-28 01:00:00-08:00,,,101467.64,0,0.0,93.13,,3.0,0.0
442,449,2023-02-18 15:00:00,18,15.0,$10.82,$16.33,2.26,$0.00,9876.19,54.0,0.0,4.79,7.23,-5.52,-5.52,-0.33770000000000006,"-$13,849.08",2023-02-18,15:00:00,2023,2,20230218,02/18/2023 15:00:00,2023-02-18 15:00:00-08:00,,,102480.29,0,2.058,40.54,,12.0,140.0
443,450,2023-02-20 12:00:00,20,12.0,$10.83,$13.97,2.26,$0.00,11235.39,75.0,13.8,4.79,6.18,-3.14,-3.14,-0.2248,"-$13,882.32",2023-02-20,12:00:00,2023,2,20230220,02/20/2023 12:00:00,2023-02-20 12:00:00-08:00,,,101231.36,0,3.601,74.02,,26.0,240.0
444,451,2022-03-23 17:00:00,23,17.0,$10.85,$31.64,5.01,$0.00,10595.76,68.0,16.1,2.16,6.32,-20.8,-20.8,-0.6572,-$648.15,2022-03-23,17:00:00,2022,3,20220323,03/23/2022 17:00:00,2022-03-23 17:00:00-07:00,,,101163.85,0,4.116,25.61,,18.0,300.0
445,452,2023-02-04 01:00:00,4,1.0,$10.85,$17.79,2.4,$0.00,10263.04,41.0,0.0,4.52,7.41,-6.95,-6.95,-0.39039999999999997,"-$12,730.45",2023-02-04,01:00:00,2023,2,20230204,02/04/2023 01:00:00,2023-02-04 01:00:00-08:00,,,102817.84,0,0.0,100.0,,3.0,0.0
446,453,2023-03-13 15:00:00,13,15.0,$10.85,$17.24,2.38,$0.00,10408.51,68.0,13.8,4.56,7.24,-6.39,-6.39,-0.3705,"-$13,613.49",2023-03-13,15:00:00,2023,3,20230313,03/13/2023 15:00:00,2023-03-13 15:00:00-07:00,,,101535.15,0,4.63,32.76,,21.0,60.0
447,454,2023-01-28 16:00:00,28,16.0,$10.86,$9.57,2.79,$0.00,9641.78,70.0,11.5,3.89,3.43,1.29,1.29,0.1343,"-$11,738.92",2023-01-28,16:00:00,2023,1,20230128,01/28/2023 16:00:00,2023-01-28 16:00:00-08:00,,,101332.62,0,5.659,77.94,,21.0,170.0
448,455,2023-01-11 12:00:00,11,12.0,$10.86,$20.09,3.32,$0.00,11557.5,75.9,13.8,3.27,6.05,-9.23,-9.23,-0.4596,"-$10,604.64",2023-01-11,12:00:00,2023,1,20230111,01/11/2023 12:00:00,2023-01-11 12:00:00-08:00,,,100961.32,0,5.144,57.94,,27.0,230.0
449,456,2023-02-08 17:00:00,8,17.0,$10.86,$12.64,2.35,$0.00,10439.02,51.1,11.5,4.62,5.38,-1.78,-1.78,-0.1408,"-$13,446.31",2023-02-08,17:00:00,2023,2,20230208,02/08/2023 17:00:00,2023-02-08 17:00:00-08:00,,,101400.13,0,4.63,87.48,,11.0,300.0
450,457,2023-02-24 01:00:00,24,1.0,$10.86,$12.46,2.19,$0.00,10572.25,70.0,9.2,4.96,5.69,-1.6,-1.6,-0.1282,"-$14,061.85",2023-02-24,01:00:00,2023,2,20230224,02/24/2023 01:00:00,2023-02-24 01:00:00-08:00,,mist,101568.91,0,2.572,100.0,,21.0,140.0
451,458,2023-02-06 08:00:00,6,8.0,$10.90,$22.47,2.4,$0.00,10057.68,55.9,6.9,4.54,9.36,-11.57,-11.57,-0.5147999999999999,"-$13,366.65",2023-02-06,08:00:00,2023,2,20230206,02/06/2023 08:00:00,2023-02-06 08:00:00-08:00,,,101703.93,0,8.231,72.97,,20.0,160.0
452,459,2023-02-18 16:00:00,18,16.0,$10.91,$15.28,2.26,$0.00,9769.75,54.0,0.0,4.83,6.76,-4.37,-4.37,-0.2862,"-$13,853.45",2023-02-18,16:00:00,2023,2,20230218,02/18/2023 16:00:00,2023-02-18 16:00:00-08:00,,,102379.03,0,4.116,46.59,,11.0,120.0
453,460,2022-12-28 20:00:00,28,20.0,$10.94,$23.68,4.9,$0.00,9810.82,64.0,8.1,2.23,4.83,-12.74,-12.74,-0.5381,"-$9,576.69",2022-12-28,20:00:00,2022,12,20221228,12/28/2022 20:00:00,2022-12-28 20:00:00-08:00,,mist,101096.34,0,4.116,100.0,,17.0,150.0
454,461,2023-02-10 03:00:00,10,3.0,$10.94,$13.11,2.4,$0.00,8805.41,48.0,0.0,4.56,5.46,-2.17,-2.17,-0.1655,"-$13,190.36",2023-02-10,03:00:00,2023,2,20230210,02/10/2023 03:00:00,2023-02-10 03:00:00-08:00,,,101805.19,0,0.0,81.48,,9.0,0.0
455,462,2023-01-28 21:00:00,28,21.0,$10.97,$14.39,2.79,$0.00,9701.24,69.1,11.5,3.93,5.16,-3.42,-3.42,-0.2378,"-$11,748.15",2023-01-28,21:00:00,2023,1,20230128,01/28/2023 21:00:00,2023-01-28 21:00:00-08:00,,,101433.89,0,4.63,83.01,,21.0,170.0
456,463,2023-03-05 07:00:00,5,7.0,$11.03,$17.41,2.67,$0.00,8730.23,50.0,0.0,4.13,6.52,-6.38,-6.38,-0.3663,"-$13,409.75",2023-03-05,07:00:00,2023,3,20230305,03/05/2023 07:00:00,2023-03-05 07:00:00-08:00,,mist,101602.66,0,2.572,87.94,,16.0,50.0
457,464,2022-04-07 11:00:00,7,11.0,$11.04,$29.31,6.25,$0.00,10551.15,68.0,18.4,1.77,4.69,-18.27,-18.27,-0.6233,-$346.12,2022-04-07,11:00:00,2022,4,20220407,04/07/2022 11:00:00,2022-04-07 11:00:00-07:00,11.832,,101838.95,0,8.746,16.22,,23.0,340.0
458,465,2023-02-08 15:00:00,8,15.0,$11.05,$10.78,2.35,$0.00,10784.51,53.1,9.2,4.7,4.59,0.27,0.27,0.025,"-$13,443.98",2023-02-08,15:00:00,2023,2,20230208,02/08/2023 15:00:00,2023-02-08 15:00:00-08:00,,,101366.38,0,6.688,87.48,,11.0,310.0
459,466,2022-12-31 00:00:00,31,24.0,$11.08,$17.46,3.7,$0.00,8741.53,57.0,0.0,2.99,4.72,-6.38,-6.38,-0.3654,"-$9,684.31",2022-12-31,00:00:00,2022,12,20221231,12/31/2022 00:00:00,2022-12-31 00:00:00-08:00,,,101130.09,0,0.0,100.0,,12.0,0.0
460,467,2023-02-05 02:00:00,5,2.0,$11.11,$13.74,2.4,$0.00,9013.76,46.0,3.5,4.63,5.73,-2.63,-2.63,-0.19140000000000001,"-$12,992.56",2023-02-05,02:00:00,2023,2,20230205,02/05/2023 02:00:00,2023-02-05 02:00:00-08:00,,,102041.48,0,1.543,93.45,,9.0,40.0
461,468,2023-03-06 04:00:00,6,4.0,$11.12,$11.84,2.67,$0.00,9132.03,59.0,0.0,4.16,4.43,-0.72,-0.72,-0.0608,"-$13,487.09",2023-03-06,04:00:00,2023,3,20230306,03/06/2023 04:00:00,2023-03-06 04:00:00-08:00,,mist,101298.87,0,2.058,100.0,,17.0,340.0
462,469,2023-02-09 18:00:00,9,18.0,$11.13,$22.70,2.42,$0.00,10241.01,64.9,11.5,4.6,9.38,-11.57,-11.57,-0.5097,"-$13,129.84",2023-02-09,18:00:00,2023,2,20230209,02/09/2023 18:00:00,2023-02-09 18:00:00-08:00,,,101602.66,0,2.058,54.35,,13.0,160.0
463,470,2023-02-20 13:00:00,20,13.0,$11.13,$14.06,2.26,$0.00,11435.21,75.9,10.4,4.92,6.22,-2.93,-2.93,-0.2084,"-$13,885.25",2023-02-20,13:00:00,2023,2,20230220,02/20/2023 13:00:00,2023-02-20 13:00:00-08:00,7.717,,101130.09,0,5.144,69.4,,25.0,240.0
464,471,2023-02-24 02:00:00,24,2.0,$11.14,$13.20,2.19,$0.00,10193.96,70.0,6.9,5.09,6.03,-2.06,-2.06,-0.1563,"-$14,063.91",2023-02-24,02:00:00,2023,2,20230224,02/24/2023 02:00:00,2023-02-24 02:00:00-08:00,,mist,101535.15,0,4.116,100.0,,21.0,140.0
465,472,2023-01-11 01:00:00,11,1.0,$11.15,$10.38,3.32,$0.00,8709.36,63.0,5.8,3.36,3.13,0.77,0.77,0.0739,"-$10,630.83",2023-01-11,01:00:00,2023,1,20230111,01/11/2023 01:00:00,2023-01-11 01:00:00-08:00,,,101130.09,0,4.63,93.94,,19.0,210.0
466,473,2023-03-08 05:00:00,8,5.0,$11.16,$19.41,2.52,$0.00,9648.9,68.0,4.6,4.43,7.7,-8.25,-8.25,-0.4249,"-$13,697.77",2023-03-08,05:00:00,2023,3,20230308,03/08/2023 05:00:00,2023-03-08 05:00:00-08:00,,fog,101467.64,0,0.0,100.0,,19.0,0.0
467,474,2023-02-22 09:00:00,22,9.0,$11.17,$13.71,2.1,$0.00,11322.7,72.0,16.1,5.32,6.53,-2.54,-2.54,-0.18530000000000002,"-$13,955.17",2023-02-22,09:00:00,2023,2,20230222,02/22/2023 09:00:00,2023-02-22 09:00:00-08:00,,"light rain,mist",100353.73,0,0.0,94.07,,22.0,0.0
468,475,2023-01-21 01:00:00,21,1.0,$11.18,$17.45,3.13,$0.00,9334.03,51.1,13.8,3.57,5.58,-6.28,-6.28,-0.35960000000000003,"-$11,310.79",2023-01-21,01:00:00,2023,1,20230121,01/21/2023 01:00:00,2023-01-21 01:00:00-08:00,,rain,101501.4,0,3.601,93.45,,9.0,80.0
469,476,2023-01-29 06:00:00,29,6.0,$11.18,$16.38,2.79,$0.00,8151.8,68.0,5.8,4.01,5.87,-5.21,-5.21,-0.3178,"-$11,729.29",2023-01-29,06:00:00,2023,1,20230129,01/29/2023 06:00:00,2023-01-29 06:00:00-08:00,,"light rain,mist",101265.11,0,2.058,93.89,,18.0,250.0
470,477,2023-01-23 14:00:00,23,14.0,$11.18,$14.43,3.13,$0.00,10485.14,57.0,12.7,3.57,4.61,-3.25,-3.25,-0.22519999999999998,"-$11,306.53",2023-01-23,14:00:00,2023,1,20230123,01/23/2023 14:00:00,2023-01-23 14:00:00-08:00,,,101872.7,0,4.116,35.58,,14.0,120.0
471,478,2023-03-15 01:00:00,15,1.0,$11.19,$13.03,2.63,$0.00,9252.8,50.0,5.8,4.25,4.95,-1.84,-1.84,-0.1414,"-$13,721.46",2023-03-15,01:00:00,2023,3,20230315,03/15/2023 01:00:00,2023-03-15 01:00:00-07:00,,,102108.99,0,1.543,76.02,,9.0,60.0
472,479,2022-10-27 02:00:00,27,2.0,$11.21,$17.80,5.26,$0.00,8385.64,52.0,0.0,2.13,3.38,-6.59,-6.59,-0.3704,$718.16,2022-10-27,02:00:00,2022,10,20221027,10/27/2022 02:00:00,2022-10-27 02:00:00-07:00,,,101265.11,0,0.0,87.38,,10.0,0.0
473,480,2022-12-29 09:00:00,29,9.0,$11.21,$21.13,4.12,$0.00,9017.36,66.0,6.9,2.72,5.13,-9.92,-9.92,-0.4694,"-$9,732.82",2022-12-29,09:00:00,2022,12,20221229,12/29/2022 09:00:00,2022-12-29 09:00:00-08:00,7.717,,101265.11,0,5.144,73.67,,24.0,170.0
474,481,2023-01-10 05:00:00,10,5.0,$11.22,$13.97,3.67,$0.00,8334.33,59.0,3.5,3.06,3.81,-2.76,-2.76,-0.1972,"-$10,518.07",2023-01-10,05:00:00,2023,1,20230110,01/10/2023 05:00:00,2023-01-10 05:00:00-08:00,,fog,101568.91,0,0.0,100.0,,15.0,0.0
475,482,2023-02-09 22:00:00,9,22.0,$11.22,$17.84,2.42,$0.00,9971.33,48.9,0.0,4.64,7.37,-6.62,-6.62,-0.3712,"-$13,161.66",2023-02-09,22:00:00,2023,2,20230209,02/09/2023 22:00:00,2023-02-09 22:00:00-08:00,,,101771.44,0,0.0,81.48,,9.0,0.0
476,483,2022-11-05 22:00:00,5,22.0,$11.23,$20.96,3.94,$0.00,10192.07,62.1,6.9,2.85,5.32,-9.73,-9.73,-0.4643,-$269.71,2022-11-05,22:00:00,2022,11,20221105,11/05/2022 22:00:00,2022-11-05 22:00:00-07:00,,,100961.32,0,0.0,93.7,,14.0,0.0
477,484,2023-02-04 05:00:00,4,5.0,$11.24,$18.97,2.4,$0.00,10510.33,36.0,4.6,4.68,7.9,-7.73,-7.73,-0.4075,"-$12,760.67",2023-02-04,05:00:00,2023,2,20230204,02/04/2023 05:00:00,2023-02-04 05:00:00-08:00,,,102784.09,0,2.572,93.08,,2.0,120.0
478,485,2022-05-26 08:00:00,26,8.0,$11.26,$62.22,9.3,$0.00,11062.01,70.0,6.9,1.21,6.69,-50.97,-50.97,-0.8190999999999999,"$3,786.30",2022-05-26,08:00:00,2022,5,20220526,05/26/2022 08:00:00,2022-05-26 08:00:00-07:00,,,101197.6,0,4.63,44.89,,27.0,240.0
479,486,2023-03-17 01:00:00,17,1.0,$11.26,$15.67,2.45,$0.00,10264.77,72.0,5.8,4.59,6.4,-4.42,-4.42,-0.2817,"-$13,744.61",2023-03-17,01:00:00,2023,3,20230317,03/17/2023 01:00:00,2023-03-17 01:00:00-07:00,14.919,light rain,100657.52,0,10.803,93.65,,13.0,330.0
480,487,2023-03-15 03:00:00,15,3.0,$11.32,$12.32,2.63,$0.00,8916.36,46.9,4.6,4.31,4.68,-1.0,-1.0,-0.081,"-$13,726.72",2023-03-15,03:00:00,2023,3,20230315,03/15/2023 03:00:00,2023-03-15 03:00:00-07:00,,,102108.99,0,2.058,81.34,,8.0,50.0
481,488,2023-03-15 12:00:00,15,12.0,$11.33,$12.28,2.63,$0.00,10653.44,64.0,9.2,4.31,4.67,-0.96,-0.96,-0.07780000000000001,"-$13,764.21",2023-03-15,12:00:00,2023,3,20230315,03/15/2023 12:00:00,2023-03-15 12:00:00-07:00,8.746,,101940.21,0,6.173,43.19,,21.0,120.0
482,489,2023-02-11 14:00:00,11,14.0,$11.34,$15.62,2.37,$0.00,10703.11,50.0,16.1,4.78,6.59,-4.28,-4.28,-0.2742,"-$13,617.01",2023-02-11,14:00:00,2023,2,20230211,02/11/2023 14:00:00,2023-02-11 14:00:00-08:00,8.746,,102142.74,0,5.659,57.78,,11.0,320.0
483,490,2023-02-18 13:00:00,18,13.0,$11.34,$19.21,2.26,$0.00,10535.16,54.0,9.2,5.02,8.5,-7.87,-7.87,-0.4096,"-$13,836.38",2023-02-18,13:00:00,2023,2,20230218,02/18/2023 13:00:00,2023-02-18 13:00:00-08:00,,,102547.8,0,2.058,37.66,,12.0,190.0
484,491,2023-01-11 23:00:00,11,23.0,$11.39,$18.00,3.32,$0.00,10902.71,71.1,9.2,3.43,5.42,-6.61,-6.61,-0.3674,"-$10,696.32",2023-01-11,23:00:00,2023,1,20230111,01/11/2023 23:00:00,2023-01-11 23:00:00-08:00,7.202,,100893.81,0,4.63,88.37,,21.0,210.0
485,492,2023-02-24 00:00:00,24,24.0,$11.39,$13.10,2.08,-$0.11,11146.9,71.1,8.1,5.48,6.3,-1.71,-1.71,-0.1305,"-$14,060.25",2023-02-24,00:00:00,2023,2,20230224,02/24/2023 00:00:00,2023-02-24 00:00:00-08:00,,mist,101568.91,0,3.087,100.0,,21.0,140.0
486,493,2022-12-14 11:00:00,14,11.0,$11.40,$39.05,7.16,$0.00,10530.73,59.0,15.0,1.59,5.45,-27.66,-27.66,-0.7081999999999999,-$877.99,2022-12-14,11:00:00,2022,12,20221214,12/14/2022 11:00:00,2022-12-14 11:00:00-08:00,,,100590.01,0,4.116,45.36,,18.0,340.0
487,494,2023-01-06 11:00:00,6,11.0,$11.40,$18.35,3.76,$0.00,10221.64,68.0,9.2,3.03,4.88,-6.95,-6.95,-0.3787,"-$10,072.34",2023-01-06,11:00:00,2023,1,20230106,01/06/2023 11:00:00,2023-01-06 11:00:00-08:00,,,101805.19,0,4.63,60.98,,24.0,170.0
488,495,2023-02-06 12:00:00,6,12.0,$11.40,$10.95,2.4,$0.00,10346.91,70.0,15.0,4.75,4.56,0.45,0.45,0.041299999999999996,"-$13,394.63",2023-02-06,12:00:00,2023,2,20230206,02/06/2023 12:00:00,2023-02-06 12:00:00-08:00,,,101366.38,0,4.116,56.7,,22.0,180.0
489,496,2022-05-30 03:00:00,30,3.0,$11.41,$15.22,8.27,$0.00,12603.82,79.0,12.7,1.38,1.84,-3.81,-3.81,-0.2505,"$8,708.36",2022-05-30,03:00:00,2022,5,20220530,05/30/2022 03:00:00,2022-05-30 03:00:00-07:00,8.746,,100488.75,0,6.173,78.68,,26.0,160.0
490,497,2023-02-11 17:00:00,11,17.0,$11.44,$16.10,2.37,$0.00,10213.55,52.0,17.3,4.83,6.79,-4.66,-4.66,-0.2893,"-$13,631.02",2023-02-11,17:00:00,2023,2,20230211,02/11/2023 17:00:00,2023-02-11 17:00:00-08:00,,,102075.23,0,2.572,66.05,,9.0,320.0
491,498,2023-03-06 05:00:00,6,5.0,$11.45,$14.28,2.67,$0.00,9344.67,61.0,0.0,4.29,5.35,-2.83,-2.83,-0.19820000000000002,"-$13,489.92",2023-03-06,05:00:00,2023,3,20230306,03/06/2023 05:00:00,2023-03-06 05:00:00-08:00,,mist,101332.62,0,0.0,100.0,,17.0,0.0
492,499,2023-03-03 06:00:00,3,6.0,$11.50,$18.97,2.68,$0.00,9251.59,55.0,16.1,4.29,7.08,-7.48,-7.48,-0.39399999999999996,"-$13,367.40",2023-03-03,06:00:00,2023,3,20230303,03/03/2023 06:00:00,2023-03-03 06:00:00-08:00,10.803,,100218.71,0,7.717,43.9,,13.0,310.0
493,500,2023-03-17 16:00:00,17,16.0,$11.50,$19.00,2.45,$0.00,10715.76,53.1,13.8,4.69,7.76,-7.51,-7.51,-0.395,"-$13,834.72",2023-03-17,16:00:00,2023,3,20230317,03/17/2023 16:00:00,2023-03-17 16:00:00-07:00,,,101400.13,0,7.717,41.14,,14.0,330.0
494,501,2023-03-08 06:00:00,8,6.0,$11.51,$24.94,2.52,$0.00,10051.71,66.9,4.6,4.57,9.9,-13.43,-13.43,-0.5385,"-$13,711.20",2023-03-08,06:00:00,2023,3,20230308,03/08/2023 06:00:00,2023-03-08 06:00:00-08:00,,,101501.4,0,2.572,88.37,,21.0,100.0
495,502,2023-02-10 06:00:00,10,6.0,$11.55,$19.08,2.4,$0.00,9617.57,48.9,0.0,4.81,7.95,-7.53,-7.53,-0.3948,"-$13,205.68",2023-02-10,06:00:00,2023,2,20230210,02/10/2023 06:00:00,2023-02-10 06:00:00-08:00,10.803,,102041.48,0,7.202,81.61,,10.0,330.0
496,503,2023-02-08 05:00:00,8,5.0,$11.57,$16.82,2.35,$0.00,8771.29,70.0,13.8,4.92,7.16,-5.26,-5.26,-0.3124,"-$13,441.24",2023-02-08,05:00:00,2023,2,20230208,02/08/2023 05:00:00,2023-02-08 05:00:00-08:00,,,101197.6,0,6.688,88.46,,22.0,170.0
497,504,2023-02-05 14:00:00,5,14.0,$11.57,$15.34,2.4,$0.00,9463.17,73.0,10.4,4.82,6.39,-3.77,-3.77,-0.2459,"-$13,009.58",2023-02-05,14:00:00,2023,2,20230205,02/05/2023 14:00:00,2023-02-05 14:00:00-08:00,,,101703.93,0,2.058,49.7,,22.0,260.0
498,505,2023-03-04 01:00:00,4,1.0,$11.57,$13.18,2.67,$0.00,8971.54,53.1,0.0,4.33,4.94,-1.61,-1.61,-0.1222,"-$13,562.22",2023-03-04,01:00:00,2023,3,20230304,03/04/2023 01:00:00,2023-03-04 01:00:00-08:00,,,100792.54,0,0.0,87.38,,10.0,0.0
499,506,2022-10-27 03:00:00,27,3.0,$11.58,$15.87,5.26,$0.00,8271.15,50.0,0.0,2.2,3.02,-4.3,-4.3,-0.2706,$713.87,2022-10-27,03:00:00,2022,10,20221027,10/27/2022 03:00:00,2022-10-27 03:00:00-07:00,,,101231.36,0,0.0,87.38,,10.0,0.0
500,507,2023-03-15 15:00:00,15,15.0,$11.59,$12.18,2.63,$0.00,10882.38,69.1,16.1,4.41,4.63,-0.59,-0.59,-0.0482,"-$13,770.91",2023-03-15,15:00:00,2023,3,20230315,03/15/2023 15:00:00,2023-03-15 15:00:00-07:00,,,101670.17,0,8.231,48.87,,19.0,120.0
501,508,2023-03-13 17:00:00,13,17.0,$11.60,$15.95,2.38,$0.00,10552.47,70.0,8.1,4.87,6.7,-4.35,-4.35,-0.2727,"-$13,623.12",2023-03-13,17:00:00,2023,3,20230313,03/13/2023 17:00:00,2023-03-13 17:00:00-07:00,,,101602.66,0,4.116,39.75,,19.0,40.0
502,509,2023-02-20 22:00:00,20,22.0,$11.61,$17.07,2.26,$0.00,11324.2,70.0,8.1,5.14,7.55,-5.46,-5.46,-0.32,"-$13,920.82",2023-02-20,22:00:00,2023,2,20230220,02/20/2023 22:00:00,2023-02-20 22:00:00-08:00,,,100995.07,0,2.572,88.37,,21.0,220.0
503,510,2023-01-02 13:00:00,2,13.0,$11.61,$18.55,3.55,$0.00,10772.61,75.9,12.7,3.27,5.23,-6.94,-6.94,-0.374,"-$10,192.78",2023-01-02,13:00:00,2023,1,20230102,01/02/2023 13:00:00,2023-01-02 13:00:00-08:00,8.231,,100454.99,0,5.659,94.12,,23.0,180.0
504,511,2023-01-14 14:00:00,14,14.0,$11.62,$11.86,3.44,$0.00,9975.55,61.0,5.8,3.38,3.45,-0.24,-0.24,-0.02,"-$11,239.52",2023-01-14,14:00:00,2023,1,20230114,01/14/2023 14:00:00,2023-01-14 14:00:00-08:00,,,101973.97,0,6.688,44.78,,16.0,130.0
505,512,2023-01-28 22:00:00,28,22.0,$11.63,$11.80,2.79,$0.00,9521.07,69.1,10.4,4.17,4.23,-0.17,-0.17,-0.0146,"-$11,748.32",2023-01-28,22:00:00,2023,1,20230128,01/28/2023 22:00:00,2023-01-28 22:00:00-08:00,,,101400.13,0,3.601,83.01,,21.0,170.0
506,513,2022-04-03 04:00:00,3,4.0,$11.63,$16.23,5.47,$0.00,9051.46,59.0,0.0,2.13,2.97,-4.6,-4.6,-0.2834,"-$1,829.57",2022-04-03,04:00:00,2022,4,20220403,04/03/2022 04:00:00,2022-04-03 04:00:00-07:00,,fog,101163.85,0,0.0,93.8,,16.0,0.0
507,514,2023-03-04 02:00:00,4,2.0,$11.65,$10.83,2.67,$0.00,8731.35,51.1,0.0,4.36,4.06,0.82,0.82,0.0757,"-$13,561.40",2023-03-04,02:00:00,2023,3,20230304,03/04/2023 02:00:00,2023-03-04 02:00:00-08:00,,,100826.3,0,0.0,87.28,,9.0,0.0
508,515,2023-02-22 10:00:00,22,10.0,$11.67,$13.59,2.1,$0.00,11585.76,72.0,9.2,5.56,6.47,-1.92,-1.92,-0.1413,"-$13,957.09",2023-02-22,10:00:00,2023,2,20230222,02/22/2023 10:00:00,2023-02-22 10:00:00-08:00,7.717,,100286.22,0,5.144,94.12,,23.0,180.0
509,516,2023-03-13 16:00:00,13,16.0,$11.68,$16.96,2.38,$0.00,10458.15,70.0,11.5,4.91,7.13,-5.28,-5.28,-0.31129999999999997,"-$13,618.77",2023-03-13,16:00:00,2023,3,20230313,03/13/2023 16:00:00,2023-03-13 16:00:00-07:00,,,101568.91,0,3.087,37.36,,20.0,60.0
510,517,2023-02-23 11:00:00,23,11.0,$11.68,$16.86,2.08,$0.00,12241.0,77.0,0.0,5.62,8.11,-5.18,-5.18,-0.3071,"-$14,120.70",2023-02-23,11:00:00,2023,2,20230223,02/23/2023 11:00:00,2023-02-23 11:00:00-08:00,,,101197.6,0,4.116,61.67,,27.0,130.0
511,518,2023-02-09 12:00:00,9,12.0,$11.73,$16.99,2.42,$0.00,10466.89,62.1,0.0,4.85,7.02,-5.26,-5.26,-0.3094,"-$13,062.41",2023-02-09,12:00:00,2023,2,20230209,02/09/2023 12:00:00,2023-02-09 12:00:00-08:00,,,101501.4,0,3.087,37.66,,21.0,190.0
512,519,2023-02-21 11:00:00,21,11.0,$11.76,$12.26,2.26,$0.00,11575.08,73.9,11.5,5.2,5.42,-0.51,-0.51,-0.0412,"-$13,922.84",2023-02-21,11:00:00,2023,2,20230221,02/21/2023 11:00:00,2023-02-21 11:00:00-08:00,9.774,,100758.79,0,6.173,61.44,,26.0,200.0
513,520,2023-02-21 01:00:00,21,1.0,$11.77,$12.00,2.26,$0.00,9640.71,70.0,6.9,5.21,5.31,-0.24,-0.24,-0.0196,"-$13,925.96",2023-02-21,01:00:00,2023,2,20230221,02/21/2023 01:00:00,2023-02-21 01:00:00-08:00,9.26,,100893.81,0,4.63,88.37,,21.0,210.0
514,521,2023-02-22 12:00:00,22,12.0,$11.77,$20.26,2.1,$0.00,11970.15,75.0,8.1,5.6,9.65,-8.5,-8.5,-0.4193,"-$13,969.55",2023-02-22,12:00:00,2023,2,20230222,02/22/2023 12:00:00,2023-02-22 12:00:00-08:00,,,100184.95,0,6.173,69.6,,26.0,230.0
515,522,2022-03-24 13:00:00,24,13.0,$11.78,$25.88,5.26,$0.00,10851.37,66.9,15.0,2.24,4.92,-14.11,-14.11,-0.545,-$971.42,2022-03-24,13:00:00,2022,3,20220324,03/24/2022 13:00:00,2022-03-24 13:00:00-07:00,8.746,,101265.11,0,6.173,24.34,,20.0,290.0
516,523,2023-01-10 03:00:00,10,3.0,$11.79,$13.03,3.67,$0.00,8195.98,59.0,3.5,3.21,3.55,-1.24,-1.24,-0.09539999999999998,"-$10,515.06",2023-01-10,03:00:00,2023,1,20230110,01/10/2023 03:00:00,2023-01-10 03:00:00-08:00,,fog,101535.15,0,0.0,100.0,,15.0,0.0
517,524,2023-01-06 01:00:00,6,1.0,$11.79,$10.46,3.76,$0.00,8593.68,51.1,4.6,3.14,2.78,1.33,1.33,0.1274,"-$10,029.20",2023-01-06,01:00:00,2023,1,20230106,01/06/2023 01:00:00,2023-01-06 01:00:00-08:00,,,101973.97,0,1.543,87.28,,9.0,110.0
518,525,2023-02-16 17:00:00,16,17.0,$11.81,$12.93,2.44,$0.00,10847.84,54.0,19.6,4.84,5.3,-1.12,-1.12,-0.0864,"-$13,533.53",2023-02-16,17:00:00,2023,2,20230216,02/16/2023 17:00:00,2023-02-16 17:00:00-08:00,,,101737.68,0,7.202,43.31,,11.0,330.0
