,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1,lat,lon,validdate,direct_rad:W,solar_power:MW
19,244,2023-03-16 04:00:00,16,4,-30.6,-26.07,2.44,0.0,11151.72,57.0,17.3,-12.54098361,-10.68442623,-4.53,-4.53,0.173762946,-39413.8,2023-03-16,04:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 04:00:00,2023-03-16 04:00:00-07:00,,,87928.35,240.0,47.46,5.659,,14.0,35.371452,-101.387665,2023-03-16 04:00:00-07:00,0.0,0.0
20,251,2023-02-06 00:00:00,6,24,-30.465,0.31,2.4,0.0,12521.2,45.0,12.7,-12.69375,0.129166667,-30.775,-30.775,-99.27419355,-38335.055,2023-02-06,00:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 00:00:00,2023-02-06 00:00:00-08:00,,,88581.21,210.0,38.71,6.688,,6.0,35.371452,-101.387665,2023-02-06 00:00:00-08:00,0.0,0.0
21,252,2023-03-15 03:00:00,15,3,-30.37,-17.09,2.63,0.0,12316.1,44.1,19.6,-11.54752852,-6.498098859,-13.28,-13.28,0.77706261,-39147.8175,2023-03-15,03:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 03:00:00,2023-03-15 03:00:00-07:00,,,88937.31,180.0,70.47,9.774,,7.0,35.371452,-101.387665,2023-03-15 03:00:00-07:00,0.0,0.0
22,254,2022-09-29 21:00:00,29,21,-30.365,3.26,6.61,0.0,17468.15,73.9,12.7,-4.593797277,0.493192133,-33.625,-33.625,-10.31441718,-26126.055,2022-09-29,21:00:00,2022,9,09/2/222,20220929,2022-09-29 06:53:56-07:00,2022-09-30T01:49:52+00:00,42956,09/29/2022 21:00:00,2022-09-29 21:00:00-07:00,,,89471.47,190.0,39.75,4.116,,19.0,35.371452,-101.387665,2022-09-29 21:00:00-07:00,0.0,0.0
23,256,2023-01-02 04:00:00,2,4,-30.36,4.43,3.55,0.0,10392.7,54.0,15.0,-8.552112676,1.247887324,-34.79,-34.79,-7.853273138,-36109.305,2023-01-02,04:00:00,2023,1,01/0/223,20230102,2023-01-02 07:08:19-08:00,2023-01-03T01:03:13+00:00,35694,01/02/2023 04:00:00,2023-01-02 04:00:00-08:00,,,88136.08,0.0,61.27,0.0,,8.0,35.371452,-101.387665,2023-01-02 04:00:00-08:00,0.0,0.0
24,260,2023-03-15 16:00:00,15,16,-30.2625,-18.8,2.63,0.0,13706.37,79.0,32.2,-11.50665399,-7.148288973,-11.4625,-11.4625,0.609707447,-39305.52,2023-03-15,16:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 16:00:00,2023-03-15 16:00:00-07:00,18.006,,88195.43,240.0,17.72,14.919,,24.0,35.371452,-101.387665,2023-03-15 16:00:00-07:00,201.9,0.243
25,265,2023-03-15 17:00:00,15,17,-30.14,-18.06,2.63,0.0,13807.82,75.0,33.4,-11.46007605,-6.866920152,-12.08,-12.08,0.668881506,-39317.6,2023-03-15,17:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 17:00:00,2023-03-15 17:00:00-07:00,12.347,,88136.08,220.0,18.82,9.774,,23.0,35.371452,-101.387665,2023-03-15 17:00:00-07:00,52.1,0.068
26,268,2023-03-16 00:00:00,16,24,-30.1225,-15.49,2.63,0.19,12624.71,62.1,26.5,-11.45342205,-5.88973384,-14.6325,-14.6325,0.944641704,-39394.205,2023-03-16,00:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 00:00:00,2023-03-16 00:00:00-07:00,,,88017.37,210.0,67.15,7.717,,14.0,35.371452,-101.387665,2023-03-16 00:00:00-07:00,0.0,0.0
27,269,2023-03-15 04:00:00,15,4,-30.095,-15.1,2.63,0.0,12412.55,44.1,20.7,-11.44296578,-5.741444867,-14.995,-14.995,0.993046358,-39162.8125,2023-03-15,04:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 04:00:00,2023-03-15 04:00:00-07:00,,,88877.96,190.0,75.5,9.774,,6.0,35.371452,-101.387665,2023-03-15 04:00:00-07:00,0.0,0.0
28,270,2023-03-16 01:00:00,16,1,-30.0875,-22.95,2.44,0.0,11916.57,60.1,20.7,-12.33094262,-9.405737705,-7.1375,-7.1375,0.311002179,-39401.3425,2023-03-16,01:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 01:00:00,2023-03-16 01:00:00-07:00,,,88017.37,210.0,67.15,9.26,,14.0,35.371452,-101.387665,2023-03-16 01:00:00-07:00,0.0,0.0
29,271,2023-03-16 02:00:00,16,2,-30.07,-27.18,2.44,0.0,11494.7,57.9,19.6,-12.32377049,-11.13934426,-2.89,-2.89,0.106328182,-39404.2325,2023-03-16,02:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 02:00:00,2023-03-16 02:00:00-07:00,,,88017.37,220.0,50.93,7.202,,14.0,35.371452,-101.387665,2023-03-16 02:00:00-07:00,0.0,0.0
30,272,2023-03-15 22:00:00,15,22,-30.065,-15.97,2.63,0.0,14275.99,66.0,21.9,-11.43155894,-6.072243346,-14.095,-14.095,0.882592361,-39364.795,2023-03-15,22:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 22:00:00,2023-03-15 22:00:00-07:00,15.433,,88106.4,210.0,55.41,11.832,,17.0,35.371452,-101.387665,2023-03-15 22:00:00-07:00,0.0,0.0
31,273,2023-03-15 23:00:00,15,23,-30.0575,-15.28,2.63,0.0,13547.9,64.9,28.8,-11.42870722,-5.809885932,-14.7775,-14.7775,0.967113874,-39379.5725,2023-03-15,23:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 23:00:00,2023-03-15 23:00:00-07:00,,,88076.72,200.0,59.05,8.231,,16.0,35.371452,-101.387665,2023-03-15 23:00:00-07:00,0.0,0.0
32,284,2023-03-16 05:00:00,16,5,-29.93,-25.03,2.44,0.0,11333.5,57.9,24.2,-12.26639344,-10.25819672,-4.9,-4.9,0.195765082,-39418.7,2023-03-16,05:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 05:00:00,2023-03-16 05:00:00-07:00,,,88076.72,260.0,50.65,3.601,,13.0,35.371452,-101.387665,2023-03-16 05:00:00-07:00,0.0,0.0
