,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length
21,04/24/2021 22:00:00,24,22,-31.815,-6.33,2.71,0.0,12286.45,59.0,21.9,-11.7398524,-2.335793358,-25.485,-25.485,4.026066351,7774.0875,2021-04-24,22:00:00,2021,04,04/2/221,20210424,2021-04-24T13:16:34+00:00,2021-04-25T02:42:54+00:00,48380
22,04/25/2021 00:00:00,25,24,-31.7175,-19.04,2.71,0.0,11123.22,55.0,21.9,-11.70387454,-7.025830258,-12.6775,-12.6775,0.665835084,7746.81,2021-04-25,00:00:00,2021,04,04/2/221,20210425,2021-04-25T13:15:24+00:00,2021-04-26T02:43:43+00:00,48499
23,04/24/2021 21:00:00,24,21,-31.705,57.12,2.71,0.0,12590.38,61.0,23.0,-11.69926199,21.07749077,-88.825,-88.825,-1.555059524,7799.5725,2021-04-24,21:00:00,2021,04,04/2/221,20210424,2021-04-24T13:16:34+00:00,2021-04-25T02:42:54+00:00,48380
24,03/30/2021 22:00:00,30,22,-31.69,-22.81,2.51,0.0,14570.73,39.9,13.8,-12.62549801,-9.087649402,-8.88,-8.88,0.389302937,-1332.4775,2021-03-30,22:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
25,04/23/2021 01:00:00,23,1,-31.69,-27.0,2.67,0.0,10617.23,46.0,24.2,-11.86891386,-10.11235955,-4.69,-4.69,0.173703704,8729.47,2021-04-23,01:00:00,2021,04,04/2/221,20210423,2021-04-23T13:17:44+00:00,2021-04-24T02:42:06+00:00,48262
26,04/24/2021 23:00:00,24,23,-31.69,-17.09,2.71,0.0,11787.08,57.0,26.5,-11.69372694,-6.306273063,-14.6,-14.6,0.854300761,7759.4875,2021-04-24,23:00:00,2021,04,04/2/221,20210424,2021-04-24T13:16:34+00:00,2021-04-25T02:42:54+00:00,48380
27,04/22/2021 23:00:00,22,23,-31.68,-26.57,2.65,0.0,12158.13,43.0,20.7,-11.95471698,-10.02641509,-5.11,-5.11,0.192322168,8739.525,2021-04-22,23:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
28,04/23/2021 03:00:00,23,3,-31.68,-27.11,2.67,0.0,10005.52,48.9,21.9,-11.86516854,-10.15355805,-4.57,-4.57,0.168572482,8720.2275,2021-04-23,03:00:00,2021,04,04/2/221,20210423,2021-04-23T13:17:44+00:00,2021-04-24T02:42:06+00:00,48262
29,03/15/2023 15:00:00,15,15,-31.68,-18.32,2.63,0.0,13802.81,78.1,36.8,-12.04562738,-6.965779468,-13.36,-13.36,0.729257642,-39294.0575,2023-03-15,15:00:00,2023,03,03/1/223,20230315,2023-03-15T14:10:47+00:00,2023-03-16T02:10:22+00:00,43175
30,04/23/2021 04:00:00,23,4,-31.6775,-25.0,2.67,0.0,9937.07,51.1,24.2,-11.86423221,-9.36329588,-6.6775,-6.6775,0.2671,8713.55,2021-04-23,04:00:00,2021,04,04/2/221,20210423,2021-04-23T13:17:44+00:00,2021-04-24T02:42:06+00:00,48262
31,04/23/2021 02:00:00,23,2,-31.6725,-27.0,2.67,0.0,10204.28,46.9,23.0,-11.86235955,-10.11235955,-4.6725,-4.6725,0.173055556,8724.7975,2021-04-23,02:00:00,2021,04,04/2/221,20210423,2021-04-23T13:17:44+00:00,2021-04-24T02:42:06+00:00,48262
32,03/20/2021 23:00:00,20,23,-31.66,-25.86,2.45,0.0,11900.19,55.0,21.9,-12.92244898,-10.55510204,-5.8,-5.8,0.224284609,-524.88,2021-03-20,23:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
33,03/21/2021 00:00:00,21,24,-31.66,-25.41,2.45,0.0,11418.67,55.0,28.8,-12.92244898,-10.37142857,-6.25,-6.25,0.245966155,-531.13,2021-03-21,00:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
34,03/21/2021 01:00:00,21,1,-31.66,-24.96,2.45,0.0,10904.37,53.1,20.7,-12.92244898,-10.1877551,-6.7,-6.7,0.268429487,-537.83,2021-03-21,01:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
35,03/21/2021 02:00:00,21,2,-31.66,-26.22,2.45,0.0,10668.89,52.0,23.0,-12.92244898,-10.70204082,-5.44,-5.44,0.20747521,-543.27,2021-03-21,02:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
36,03/21/2021 03:00:00,21,3,-31.66,-28.17,2.45,0.0,10577.37,51.1,28.8,-12.92244898,-11.49795918,-3.49,-3.49,0.123890664,-546.76,2021-03-21,03:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
37,03/21/2021 05:00:00,21,5,-31.66,-25.63,2.45,0.0,10756.38,45.0,21.9,-12.92244898,-10.46122449,-6.03,-6.03,0.235271167,-557.9225,2021-03-21,05:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
38,03/22/2021 00:00:00,22,24,-31.66,-27.01,2.45,0.0,11167.87,54.0,19.6,-12.92244898,-11.0244898,-4.65,-4.65,0.17215846,-544.3375,2021-03-22,00:00:00,2021,03,03/2/221,20210322,2021-03-22T14:00:19+00:00,2021-03-23T02:16:28+00:00,44169
39,03/21/2021 23:00:00,21,23,-31.6575,-27.01,2.45,0.0,12077.5,54.0,17.3,-12.92142857,-11.0244898,-4.6475,-4.6475,0.172065902,-539.6875,2021-03-21,23:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
40,03/22/2021 01:00:00,22,1,-31.6575,-28.03,2.45,0.0,10468.62,53.1,19.6,-12.92142857,-11.44081633,-3.6275,-3.6275,0.129414913,-547.965,2021-03-22,01:00:00,2021,03,03/2/221,20210322,2021-03-22T14:00:19+00:00,2021-03-23T02:16:28+00:00,44169
41,03/30/2021 23:00:00,30,23,-31.6575,-20.56,2.51,0.0,13483.68,37.9,13.8,-12.6125498,-8.19123506,-11.0975,-11.0975,0.539761673,-1343.575,2021-03-30,23:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
42,04/22/2021 11:00:00,22,11,-31.6575,-20.19,2.65,0.0,13866.68,46.0,20.7,-11.94622642,-7.618867925,-11.4675,-11.4675,0.567979198,8799.96,2021-04-22,11:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
43,03/20/2021 22:00:00,20,22,-31.655,-24.0,2.45,0.0,12236.49,57.0,28.8,-12.92040816,-9.795918367,-7.655,-7.655,0.318958333,-519.08,2021-03-20,22:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
44,03/21/2021 04:00:00,21,4,-31.6525,-26.52,2.45,0.0,10585.22,48.0,19.6,-12.91938776,-10.8244898,-5.1325,-5.1325,0.193533183,-551.8925,2021-03-21,04:00:00,2021,03,03/2/221,20210321,2021-03-21T14:01:43+00:00,2021-03-22T02:15:39+00:00,44036
45,03/31/2021 00:00:00,31,24,-31.6525,-20.75,2.51,0.05,12265.95,39.0,17.3,-12.61055777,-8.266932271,-10.9025,-10.9025,0.525421687,-1354.4775,2021-03-31,00:00:00,2021,03,03/3/221,20210331,2021-03-31T13:47:43+00:00,2021-04-01T02:23:39+00:00,45356
46,03/20/2021 20:00:00,20,20,-31.65,-20.83,2.45,0.0,11931.33,61.0,23.0,-12.91836735,-8.502040816,-10.82,-10.82,0.519443111,-502.785,2021-03-20,20:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
47,03/20/2021 21:00:00,20,21,-31.65,-23.01,2.45,0.0,12321.16,57.9,23.0,-12.91836735,-9.391836735,-8.64,-8.64,0.375488918,-511.425,2021-03-20,21:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
48,03/31/2021 01:00:00,31,1,-31.65,-18.99,2.46,0.0,11201.95,37.0,15.0,-12.86585366,-7.719512195,-12.66,-12.66,0.666666667,-1367.1375,2021-03-31,01:00:00,2021,03,03/3/221,20210331,2021-03-31T13:47:43+00:00,2021-04-01T02:23:39+00:00,45356
49,04/22/2021 19:00:00,22,19,-31.65,-29.07,2.65,0.0,13082.73,62.1,25.3,-11.94339623,-10.96981132,-2.58,-2.58,0.08875129,8766.575,2021-04-22,19:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
50,04/22/2021 20:00:00,22,20,-31.65,-22.31,2.65,0.0,13196.33,55.9,21.9,-11.94339623,-8.418867925,-9.34,-9.34,0.418646347,8757.235,2021-04-22,20:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
51,04/22/2021 21:00:00,22,21,-31.65,-24.0,2.65,0.0,13349.69,48.0,21.9,-11.94339623,-9.056603774,-7.65,-7.65,0.31875,8749.585,2021-04-22,21:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
52,04/22/2021 22:00:00,22,22,-31.65,-26.7,2.65,0.0,12939.13,46.0,21.9,-11.94339623,-10.0754717,-4.95,-4.95,0.185393258,8744.635,2021-04-22,22:00:00,2021,04,04/2/221,20210422,2021-04-22T13:18:55+00:00,2021-04-23T02:41:17+00:00,48142
53,04/23/2021 22:00:00,23,22,-31.65,-4.97,2.67,0.0,12885.82,51.1,15.0,-11.85393258,-1.861423221,-26.68,-26.68,5.368209256,8809.6925,2021-04-23,22:00:00,2021,04,04/2/221,20210423,2021-04-23T13:17:44+00:00,2021-04-24T02:42:06+00:00,48262
54,03/20/2021 09:00:00,20,9,-31.6475,-8.95,2.45,0.0,13709.01,39.9,18.4,-12.91734694,-3.653061224,-22.6975,-22.6975,2.53603352,-371.635,2021-03-20,09:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
55,04/24/2021 04:00:00,24,4,-31.6475,15.62,2.71,0.0,9692.95,46.0,15.0,-11.67804428,5.763837638,-47.2675,-47.2675,-3.026088348,8642.165,2021-04-24,04:00:00,2021,04,04/2/221,20210424,2021-04-24T13:16:34+00:00,2021-04-25T02:42:54+00:00,48380
56,04/26/2021 03:00:00,26,3,-31.645,-32.0,2.71,0.0,10289.97,66.9,23.0,-11.67712177,-11.80811808,0.355,0.355,-0.01109375,7583.655,2021-04-26,03:00:00,2021,04,04/2/221,20210426,2021-04-26T13:14:16+00:00,2021-04-27T02:44:32+00:00,48616
57,04/21/2021 23:00:00,21,23,-31.6425,-19.0,2.69,0.0,12279.32,42.1,13.8,-11.76301115,-7.063197026,-12.6425,-12.6425,0.665394737,8749.9325,2021-04-21,23:00:00,2021,04,04/2/221,20210421,2021-04-21T13:20:06+00:00,2021-04-22T02:40:28+00:00,48022
58,04/24/2021 03:00:00,24,3,-31.6425,15.97,2.71,0.0,9821.73,45.0,12.7,-11.67619926,5.89298893,-47.6125,-47.6125,-2.981371321,8689.4325,2021-04-24,03:00:00,2021,04,04/2/221,20210424,2021-04-24T13:16:34+00:00,2021-04-25T02:42:54+00:00,48380
59,04/25/2021 01:00:00,25,1,-31.6425,-26.97,2.71,0.0,10478.35,53.1,19.6,-11.67619926,-9.95202952,-4.6725,-4.6725,0.173248053,7742.1375,2021-04-25,01:00:00,2021,04,04/2/221,20210425,2021-04-25T13:15:24+00:00,2021-04-26T02:43:43+00:00,48499
60,03/20/2021 08:00:00,20,8,-31.64,-10.0,2.45,0.0,13353.37,37.9,18.4,-12.91428571,-4.081632653,-21.64,-21.64,2.164,-348.9375,2021-03-20,08:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
61,03/29/2021 05:00:00,29,5,-31.64,-23.08,2.47,0.0,10459.15,50.0,27.6,-12.8097166,-9.344129555,-8.56,-8.56,0.370883882,-1058.0525,2021-03-29,05:00:00,2021,03,03/2/221,20210329,2021-03-29T13:50:30+00:00,2021-03-30T02:22:03+00:00,45093
62,05/03/2021 21:00:00,03,21,-31.64,-19.97,2.88,0.0,18009.34,50.0,20.7,-10.98611111,-6.934027778,-11.67,-11.67,0.584376565,6393.57,2021-05-03,21:00:00,2021,05,05/0/221,20210503,2021-05-03T13:06:48+00:00,2021-05-04T02:50:15+00:00,49407
63,03/20/2021 07:00:00,20,7,-31.6375,-9.36,2.45,0.0,12547.5,37.0,13.8,-12.91326531,-3.820408163,-22.2775,-22.2775,2.380074786,-327.2975,2021-03-20,07:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
64,03/22/2021 02:00:00,22,2,-31.6375,-27.01,2.45,0.0,10036.07,52.0,12.7,-12.91326531,-11.0244898,-4.6275,-4.6275,0.171325435,-552.5925,2021-03-22,02:00:00,2021,03,03/2/221,20210322,2021-03-22T14:00:19+00:00,2021-03-23T02:16:28+00:00,44169
65,03/30/2021 10:00:00,30,10,-31.6375,-23.04,2.51,0.0,12954.89,43.0,27.6,-12.60458167,-9.179282869,-8.5975,-8.5975,0.373155382,-1262.905,2021-03-30,10:00:00,2021,03,03/3/221,20210330,2021-03-30T13:49:07+00:00,2021-03-31T02:22:51+00:00,45224
66,04/21/2021 22:00:00,21,22,-31.6375,-15.0,2.69,0.0,13098.27,43.0,11.5,-11.76115242,-5.576208178,-16.6375,-16.6375,1.109166667,8762.575,2021-04-21,22:00:00,2021,04,04/2/221,20210421,2021-04-21T13:20:06+00:00,2021-04-22T02:40:28+00:00,48022
67,05/03/2021 19:00:00,03,19,-31.6375,-9.38,2.88,0.0,20312.96,52.0,20.7,-10.98524306,-3.256944444,-22.2575,-22.2575,2.372867804,6424.045,2021-05-03,19:00:00,2021,05,05/0/221,20210503,2021-05-03T13:06:48+00:00,2021-05-04T02:50:15+00:00,49407
68,03/20/2021 19:00:00,20,19,-31.635,-23.32,2.45,0.0,11900.46,66.0,25.3,-12.9122449,-9.518367347,-8.315,-8.315,0.356560892,-491.965,2021-03-20,19:00:00,2021,03,03/2/221,20210320,2021-03-20T14:03:08+00:00,2021-03-21T02:14:51+00:00,43903
